кампания,utm_campaign,было,стало_URL_полная,что_сделать
П4_Поиск_Трудовой,p4_trudovoj,/taxi/#labor-contract или /#labor-contract,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},ГЛАВНОЕ направление — только эта посадка
П2_Поиск_Самозанятый,p2_samozanyatyj,/#tariffs /#tariff-self,https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=p2_samozanyatyj&utm_content={ad_id}&utm_term={keyword}#formats,второе направление
П1_Поиск_Подключение,p1_podklyuchenie,/#tariffs,https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#formats,общее подключение такси не трудовой не курьер
П10_Поиск_Доставка,delivery_courier,(не было или главная),https://park-armada.ru/delivery/?utm_source=yandex&utm_medium=cpc&utm_campaign=delivery_courier&utm_content={ad_id}&utm_term={keyword}#courier-tariffs,третье направление отдельная кампания
П3_Поиск_ИП,p3_ip,/#tariff-ip,https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=p3_ip&utm_content={ad_id}&utm_term={keyword}#formats,не смешивать с трудовым
П5_Поиск_ФГИС,p5_fgis,/#services,https://park-armada.ru/license/?utm_source=yandex&utm_medium=cpc&utm_campaign=p5_fgis&utm_content={ad_id}&utm_term={keyword},последний приоритет ставок
П5b_Поиск_ОСГОП,p5_osgop,/#services,https://park-armada.ru/osgop/?utm_source=yandex&utm_medium=cpc&utm_campaign=p5_osgop&utm_content={ad_id}&utm_term={keyword},не клеить с ФГИС в одну группу
П6_Поиск_Бренд,p6_brand,/,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p6_brand&utm_content={ad_id}&utm_term={keyword},только бренд
П7_Поиск_Квиз,p7_quiz,/#quiz,ОСТАНОВИТЬ — вести остаток в П1 /taxi/#formats,квиза на главной нет
П8_Поиск_Лимит_НПД,p8_limit_npd,/blog/limit-npd-2-4-mln/,https://park-armada.ru/blog/limit-npd-2-4-mln/?utm_source=yandex&utm_medium=cpc&utm_campaign=p8_limit_npd&utm_content={ad_id}&utm_term={keyword},статья + сайтлинк трудовой
П9_инфо_статьи,p9_*,/blog/,См. TZ §4 — один URL статьи на группу,не лить все ключи на /blog/
Р1_РСЯ,r1_rsya,/#quiz,Разные посадки: трудовой / taxi / delivery,не одна главная
Р2_Ретаргет,r2_retarget,/#apply,Сегменты по URL посадок,условия аудиторий обновить
ГЕО_города,geo_*,/,https://park-armada.ru/goroda/{slug}/,только при отдельном бюджете
