campaign,ad_group,cluster,keyword,intent,match_hint,landing
П4_Поиск_Трудовой,Трудовой договор,A_ядро,трудовой договор яндекс такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,трудовой договор такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,работа в такси по трудовому договору,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,подключение к яндекс такси трудовой договор,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,яндекс такси трудовой договор,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,такси трудовой договор,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,официальное трудоустройство такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,работа такси с трудоустройством,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,яндекс такси оформление по тк,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,яндекс такси по трудовому договору,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,трудовой договор водитель такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,оформить трудовой договор такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,A_ядро,таксопарк трудовой договор,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,работа в такси без самозанятости,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,яндекс такси без самозанятости,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,работа в яндекс такси без ип,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,такси без самозанятости и ип,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,подключение к яндекс такси без самозанятости,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,водитель такси без смз,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,яндекс такси без смз,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,B_без_смз_ип,работа такси без ип,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,превысил лимит самозанятости такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,превышен лимит нпд такси что делать,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,лимит самозанятого такси трудовой,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,превышен лимит самозанятого не хочу ип,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,что делать если превысил лимит самозанятого такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,переход с самозанятого на трудовой договор такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,лимит 2.4 млн такси трудовой договор,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,C_лимит_смз,превышен лимит ип такси трудовой,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,D_налоги_документы,такси трудовой договор налог платит парк,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,D_налоги_документы,2ндфл такси,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
