campaign,ad_group,keyword,intent,landing
П1_Поиск_Подключение,Подключение Яндекс Такси,подключение к яндекс такси,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,подключить яндекс такси,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,подключить водителя к яндекс такси,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,как подключиться к яндекс такси,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,регистрация в яндекс такси водитель,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,оформление в яндекс такси,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,подключение к яндекс про,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,стать водителем яндекс такси,M,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,работа в яндекс такси на своем авто,M,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,яндекс такси подключение парк,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
П1_Поиск_Подключение,Подключение Яндекс Такси,удалённое подключение яндекс такси,H,https://park-armada.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=p1_podklyuchenie&utm_content={ad_id}&utm_term={keyword}#tariffs
